"Date";"TempMin";"TempMax"
06/01/2014;55.9;51.1
06/02/2014;00.0;00.0
06/03/2014;57.0;50.0
06/04/2014;55.9;51.1
06/05/2014;55.9;50.0
06/06/2014;59.0;52.0
06/07/2014;59.0;52.0
06/08/2014;59.0;51.1
06/09/2014;60.1;51.1
06/10/2014;60.1;51.1
06/11/2014;59.0;55.9
06/12/2014;57.9;52.0
06/13/2014;63.0;54.0
06/14/2014;62.1;53.1
06/15/2014;60.1;53.1
06/16/2014;57.9;53.1
06/17/2014;57.9;52.0
06/18/2014;55.9;52.0
06/19/2014;62.1;51.1
06/20/2014;62.1;51.1
06/21/2014;60.1;54.0
06/22/2014;57.9;54.0
06/23/2014;59.0;53.1
06/24/2014;60.1;55.0
06/25/2014;00.0;00.0
06/26/2014;00.0;00.0
06/27/2014;00.0;00.0
06/28/2014;64.0;54.0
06/29/2014;62.1;54.0
06/30/2014;62.1;55.0
07/01/2014;62.1;55.0
07/02/2014;62.1;55.0
07/03/2014;57.9;55.0
07/04/2014;59.0;54.0
07/05/2014;60.1;54.0
07/06/2014;60.1;53.1
07/07/2014;60.1;53.1
07/08/2014;59.0;55.0
07/09/2014;61.0;55.9
07/10/2014;64.0;57.0
07/11/2014;64.9;55.9
07/12/2014;64.9;55.9
07/13/2014;64.9;55.0
07/14/2014;64.9;55.0
07/15/2014;64.9;55.0
07/16/2014;64.9;55.0
07/17/2014;69.1;62.1
07/18/2014;00.0;00.0
07/19/2014;64.0;59.0
07/20/2014;64.9;59.0
07/21/2014;66.0;61.0
07/22/2014;66.0;60.1
07/23/2014;66.9;60.1
07/24/2014;00.0;00.0
07/25/2014;69.1;59.0
07/26/2014;68.0;60.1
07/27/2014;64.0;57.9
07/28/2014;62.1;57.9
07/29/2014;00.0;00.0
07/30/2014;00.0;00.0
07/31/2014;00.0;00.0
08/01/2014;62.1;52.0
08/02/2014;62.1;55.9
08/03/2014;62.1;51.1
08/04/2014;62.1;55.9
08/05/2014;63.0;55.9
08/06/2014;64.0;55.9
08/07/2014;64.0;55.9
08/08/2014;64.0;55.9
08/09/2014;64.0;55.9
08/10/2014;64.0;57.0
08/11/2014;00.0;00.0
08/12/2014;66.0;55.9
08/13/2014;66.0;57.0
08/14/2014;66.0;57.0
08/15/2014;64.0;57.9
08/16/2014;64.0;57.9
08/17/2014;64.0;57.0
08/18/2014;64.0;57.0
08/19/2014;64.9;57.0
08/20/2014;64.9;61.0
08/21/2014;64.9;60.1
08/22/2014;64.9;59.0
08/23/2014;66.0;60.1
08/24/2014;66.0;60.1
08/25/2014;66.0;61.0
08/26/2014;66.9;60.1
08/27/2014;66.9;60.1
08/28/2014;66.9;53.1
08/29/2014;66.9;59.0
08/30/2014;66.9;60.1
08/31/2014;66.9;60.1